id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1226926,HackerHome - San Jose Dwtn: bunk 1,43806,Vic,,San Jose,37.34452,-121.885,Shared room,33,2,21,2019-05-29,0.24,53,365
1240799,Downtown Mountain View Rose House,6617210,Mary,,Mountain View,37.39191,-122.09181,Entire home/apt,375,3,31,2020-07-17,0.35,1,273
1292308,"Santana Row Condo Facing the ""Row"" (Super Host)",1269205,Ginger & Ray,,San Jose,37.32147,-121.94665,Entire home/apt,179,21,82,2020-10-19,1.03,3,338
1297682,Private Spacious Room - Near Apple New Campus,1639312,Rodrigo,,Sunnyvale,37.36102,-122.01317,Private room,50,14,9,2018-05-04,0.10,2,358
1309927,Palo Alto Country House,5612983,Tom,,Los Altos Hills,37.38993,-122.12882,Entire home/apt,290,3,24,2020-02-17,0.27,2,85
1313526,Cool Central Mountain View!,7137847,Vj,,Mountain View,37.39738,-122.07152,Entire home/apt,90,28,90,2020-03-21,1.01,1,240
1348837,Updated quiet townhouse in Silicon Valley,961931,Jalil,,Sunnyvale,37.3575,-122.01615,Entire home/apt,105,2,4,2020-04-01,0.24,1,238
1353178,HackerHome - San Jose Dwtn: bunk 2,43806,Vic,,San Jose,37.3466,-121.88412,Shared room,28,2,27,2019-01-13,0.31,53,365
1357007,Beautiful Garden Eichler Cottage with Studio,5041808,Felicia,,Palo Alto,37.41297,-122.11591,Entire home/apt,150,184,1,2013-08-01,0.01,1,140
1364787,Iris House Cozy room in dwntn Palo Alto & Stanford,7406543,Carina,,Palo Alto,37.4504,-122.14932,Private room,95,30,198,2020-02-01,2.25,5,365
1367908,"Spacious room, welcoming home",5124118,Nelly,,Los Altos,37.35998,-122.08,Private room,60,1,42,2019-12-13,0.47,6,202
1388553,"1BR 1BA walk to Willow Glen dining, Silicon Valley",7187856,Rebecca,,San Jose,37.3014,-121.8996,Private room,110,1,219,2020-10-04,2.52,5,89
1393798,beautiful cottage 2B 1Bah,7534555,Shai,,Palo Alto,37.42111,-122.15312,Entire home/apt,213,2,8,2019-11-21,0.19,1,22
1450519,"Cozy, quiet, beautiful home",7784207,Patricia,,Morgan Hill,37.13917,-121.61677,Private room,85,1,23,2017-02-26,0.26,2,358
1463030,** 2BR Remodel w/ New Furniture ***,5196269,JT On Behalf Of,,Palo Alto,37.42171,-122.12782,Entire home/apt,185,1,50,2020-02-20,0.61,4,92
1479769,Charming Palo Alto Carriage House,7917994,Palo Alto,,Palo Alto,37.43767,-122.14998,Entire home/apt,139,7,97,2020-08-26,1.12,1,310
1483988,Private Comfortable Guest Suite - Quiet Palo Alto Cul-De-Sac,5654340,Cristina,,Palo Alto,37.44299,-122.12261,Entire home/apt,170,1,189,2020-03-05,2.49,1,266
1511274,Private room in San Jose/Campbell,8071407,Cheruvalath,,Campbell,37.27908,-121.94576,Private room,65,2,35,2015-09-22,0.40,2,364
1511816,Bdrm suite with private  entrance,8071407,Cheruvalath,,Campbell,37.28606,-121.93937,Private room,75,2,53,2020-09-12,0.61,2,294
1540977,"Tropical Tahiti - Near Town, Airport, Quiet, Clean",6260726,Pamela,,San Jose,37.34131,-121.79511,Private room,29,1,178,2020-09-11,2.04,4,365
1543454,"Nantucket Isle: Clean, Peaceful, Near Airport/Town",6260726,Pamela,,San Jose,37.34015,-121.79575,Private room,27,1,171,2020-08-09,1.96,4,360
1579670,"2 Blocks Behind old Apple HQ, 2 miles from New",164175646,David,,Cupertino,37.32776,-122.02336,Private room,65,2,26,2019-07-02,0.30,2,365
1615299,Excellent for the Business Traveler,8598130,Paul,,Campbell,37.25704,-121.95095,Private room,79,4,60,2020-07-25,0.70,1,112
1625508,Private master room - near downtown,6139889,Apal,,Mountain View,37.39705,-122.09257,Private room,45,14,8,2019-02-28,0.10,1,297
1645172,Poolside guest house in Willow Glen,8730042,Tim,,San Jose,37.28559,-121.90684,Entire home/apt,90,2,399,2020-10-18,5.73,1,351
1672827,Cottage near downtown Palo Alto,703440,Bob,,Palo Alto,37.4553,-122.15348,Entire home/apt,137,2,165,2020-09-11,1.92,1,173
1691675,"2BD Palo Alto home, great location",8936651,David,,Palo Alto,37.43811,-122.1521,Entire home/apt,325,1,73,2020-07-15,0.85,1,210
1712102,Single Room with Private Bathroom,4135001,Arley,,San Jose,37.29575,-121.8637,Private room,80,3,34,2019-09-01,0.40,2,364
1717995,Large Gorgeous Corporate House In Prime Location,9057618,Jessica,,San Jose,37.37418,-121.88311,Entire home/apt,400,7,13,2019-03-31,0.16,2,328
1742948,A fabulous private suite in Silicon Valley.,6803601,Avital,,San Jose,37.24058,-121.93861,Private room,71,4,39,2020-03-13,1.03,1,364
1743193,Nice Top Floor 2 Master Suites Executive Townhouse,9057618,Jessica,,San Jose,37.4046,-121.92236,Entire home/apt,200,30,15,2019-12-13,0.18,2,359
1749189,Private Clean Quiet Room in Nice neighborhood,9203852,Fang,,San Jose,37.26755,-121.88346,Private room,42,15,2,2017-09-22,0.05,2,269
1776962,HackerHome - Sunnyvale Plug & Play2,43806,Vic,,Sunnyvale,37.38775,-122.02642,Shared room,45,30,16,2019-10-25,0.20,53,365
1777240,HackerHome - Sunnyvale Caltrain,43806,Vic,,Sunnyvale,37.38854,-122.02505,Shared room,33,30,15,2017-08-29,0.18,53,365
1777251,HackerHome - Sunnyvale: bunk 1,43806,Vic,,Sunnyvale,37.38692,-122.02507,Shared room,29,30,12,2020-07-10,0.16,53,365
1786711,Private Suite w bathroom. Close to Stanford Campus,9377045,O.O.,,Palo Alto,37.41571,-122.11679,Private room,88,5,13,2018-10-25,0.19,12,364
1815359,Newly renovated: Near Caltrain & Costco Sunnyvale,42458,Emey,,Sunnyvale,37.3571,-122.00255,Entire home/apt,145,7,6,2020-02-29,0.07,14,251
1847892,3 BDRM Exec Home near Stanford,9652461,Gerry And Jeanne,,Palo Alto,37.41376,-122.10264,Entire home/apt,234,28,33,2020-09-18,0.40,4,89
1879601,Going through a Separation?Furnished Corporate Apt,9761785,Liz,,Unincorporated Areas,37.23983,-121.99808,Entire home/apt,125,7,0,,,2,365
1892611,"Upstairs room, private bath, gym",6138400,Daniel,,Cupertino,37.33679,-122.02472,Private room,85,30,64,2020-04-18,0.78,1,270
1926272,"Best of the Row, 2000sf Terrace Villa —Happy Home",9979068,Chip & Jennifer,,San Jose,37.32267,-121.94907,Entire home/apt,452,1,40,2020-03-01,1.00,1,349
1941552,Downtown Mountain View - 1/1 Condo,2899595,Rita,,Mountain View,37.3979,-122.07192,Entire home/apt,150,3,55,2020-02-17,0.66,1,297
1950761,"Engineers & Entrepreneurs: FREE Food, Super Clean",10088145,Drew,,San Jose,37.29905,-121.97117,Shared room,39,4,47,2018-12-31,0.57,9,297
1959776,"545 #3 1bdrm/1bth,dwntwn,hardwd,A/C",9473789,Kathy,,Palo Alto,37.44868,-122.15677,Entire home/apt,115,3,42,2020-06-07,0.64,27,365
1984463,Big room: fun place at your pace!,10239065,Evgenii,,San Jose,37.3526,-121.79871,Private room,45,2,14,2016-06-07,0.18,1,0
1985054,The Lavender House,3579695,Toni,,Unincorporated Areas,37.15116,-121.98852,Entire home/apt,127,1,189,2020-10-22,2.26,2,362
2000765,"Comfy room with hot-tub, pool, near SJC & SAP",1563292,Linda And Marc,,San Jose,37.32636,-121.90618,Private room,100,2,404,2020-03-17,4.95,2,89
2057269,"Peaceful 3BD/2BA Bungalow, Heart of Silicon Valley",9925907,Ladan,,San Jose,37.34221,-121.86995,Entire home/apt,179,2,148,2020-09-07,3.14,2,194
2063367,Spacious Studio with Laundry,353074,Andy,,Palo Alto,37.40534,-122.12671,Entire home/apt,99,21,8,2019-03-18,0.11,1,89
2096985,A Stone's Throw Away from Old Downtown Palo Alto,10696511,Noel,,Palo Alto,37.42674,-122.14291,Private room,95,7,83,2019-11-19,1.04,1,178
2111028,"Craftsman, Palo Alto 4-5 bedrooms, 2.5 baths.",1156757,Dean,,Palo Alto,37.44176,-122.15485,Entire home/apt,495,7,12,2018-11-20,0.15,1,85
2150859,HackerHome - Downtown Mountain View: Castro Street,43806,Vic,,Mountain View,37.39512,-122.07925,Shared room,30,30,19,2020-03-15,0.23,53,365
2155694,"Engineers: 30% Discount/mo, Unli Food, Super Clean",10088145,Drew,,San Jose,37.29905,-121.97117,Shared room,42,6,32,2020-05-03,0.40,9,352
2155740,"Engineers & Entrepreneurs: FREE Food, Super Clean",10088145,Drew,,San Jose,37.29905,-121.97117,Shared room,39,5,27,2019-09-15,0.33,9,0
